_Country_Colors,_Country_Params,Country Code,Country,Dimension,G20,Momentum (Momentum),Region,Score,GROWTH,Median line
,FALSE,BOL,Bolivia,SECURE,,STABILIZING,Latin America and the Caribbean,81.60715702,-0.007033028,67.12
,FALSE,BOL,Bolivia,SUSTAINABLE,,ADVANCING,Latin America and the Caribbean,59.18378448,0.014953675,61.3
,FALSE,BOL,Bolivia,EQUITABLE,,AT RISK,Latin America and the Caribbean,57.28172843,-0.008568162,64.71
,FALSE,BIH,Bosnia and Herzegovina,SECURE,,STABILIZING,Emerging and Developing Europe,69.27028445,-0.000752161,67.12
,FALSE,BIH,Bosnia and Herzegovina,SUSTAINABLE,,ADVANCING,Emerging and Developing Europe,46.49436038,0.013775488,61.3
,FALSE,BIH,Bosnia and Herzegovina,EQUITABLE,,ADVANCING,Emerging and Developing Europe,65.07761852,0.011466851,64.71
,FALSE,BWA,Botswana,SECURE,,AT RISK,Sub-Saharan Africa,46.78724995,-0.00128433,67.12
,FALSE,BWA,Botswana,SUSTAINABLE,,LEADING,Sub-Saharan Africa,62.92951737,0.022547976,61.3
,FALSE,BWA,Botswana,EQUITABLE,,AT RISK,Sub-Saharan Africa,55.09753386,-0.001861866,64.71
,FALSE,BRA,Brazil,SECURE,G20,LEADING,Latin America and the Caribbean,75.83661803,0.001458425,67.12
,FALSE,BRA,Brazil,SUSTAINABLE,G20,LEADING,Latin America and the Caribbean,74.78713495,0.005145828,61.3
,FALSE,BRA,Brazil,EQUITABLE,G20,AT RISK,Latin America and the Caribbean,56.15083336,-0.02322645,64.71
,FALSE,BRN,Brunei Darussalam,SECURE,,LEADING,Emerging and Developing Asia,78.72933971,0.086517644,67.12
,FALSE,BRN,Brunei Darussalam,SUSTAINABLE,,AT RISK,Emerging and Developing Asia,24.10175328,-0.036405256,61.3
,FALSE,BRN,Brunei Darussalam,EQUITABLE,,AT RISK,Emerging and Developing Asia,62.29924343,-0.018988765,64.71
,FALSE,BGR,Bulgaria,SECURE,,LEADING,Emerging and Developing Europe,72.60882916,0.007234979,67.12
,FALSE,BGR,Bulgaria,SUSTAINABLE,,LEADING,Emerging and Developing Europe,61.96263416,0.028878483,61.3
,FALSE,BGR,Bulgaria,EQUITABLE,,AT RISK,Emerging and Developing Europe,53.70155113,-0.006002665,64.71
,FALSE,KHM,Cambodia,SECURE,,ADVANCING,Emerging and Developing Asia,67.03544638,0.01478136,67.12
,FALSE,KHM,Cambodia,SUSTAINABLE,,STABILIZING,Emerging and Developing Asia,65.09221319,-0.00833554,61.3
,FALSE,KHM,Cambodia,EQUITABLE,,ADVANCING,Emerging and Developing Asia,47.57095289,0.047821101,64.71
,FALSE,CMR,Cameroon,SECURE,,STABILIZING,Sub-Saharan Africa,69.96880333,-0.000841301,67.12
,FALSE,CMR,Cameroon,SUSTAINABLE,,LEADING,Sub-Saharan Africa,69.88509632,0.000994138,61.3
,FALSE,CMR,Cameroon,EQUITABLE,,ADVANCING,Sub-Saharan Africa,56.43102896,0.007153916,64.71
,FALSE,CAN,Canada,SECURE,G20,STABILIZING,Advanced Economies,82.28569242,-0.0025996,67.12
,FALSE,CAN,Canada,SUSTAINABLE,G20,ADVANCING,Advanced Economies,34.92988594,0.034443375,61.3
,FALSE,CAN,Canada,EQUITABLE,G20,STABILIZING,Advanced Economies,82.95577143,-0.006238394,64.71
,FALSE,CHL,Chile,SECURE,,AT RISK,Latin America and the Caribbean,65.3917629,-0.001692647,67.12
,FALSE,CHL,Chile,SUSTAINABLE,,LEADING,Latin America and the Caribbean,63.67541505,0.005040502,61.3
,FALSE,CHL,Chile,EQUITABLE,,AT RISK,Latin America and the Caribbean,61.08881279,-0.020299965,64.71
,FALSE,CHN,China,SECURE,G20,LEADING,Emerging and Developing Asia,79.46898367,0.004533854,67.12
,FALSE,CHN,China,SUSTAINABLE,G20,ADVANCING,Emerging and Developing Asia,43.52625117,0.00273213,61.3
,FALSE,CHN,China,EQUITABLE,G20,LEADING,Emerging and Developing Asia,71.86107396,0.015666473,64.71
,FALSE,COL,Colombia,SECURE,,LEADING,Latin America and the Caribbean,68.42389143,0.021134553,67.12
,FALSE,COL,Colombia,SUSTAINABLE,,STABILIZING,Latin America and the Caribbean,72.48010748,-0.000886326,61.3
,FALSE,COL,Colombia,EQUITABLE,,AT RISK,Latin America and the Caribbean,55.78986174,-0.04559237,64.71
,FALSE,COD,"Congo, Dem. Rep.",SECURE,,ADVANCING,Sub-Saharan Africa,58.32115473,0.003189546,67.12
,FALSE,COD,"Congo, Dem. Rep.",SUSTAINABLE,,LEADING,Sub-Saharan Africa,73.77436499,0.000856125,61.3
,FALSE,COD,"Congo, Dem. Rep.",EQUITABLE,,ADVANCING,Sub-Saharan Africa,30.78763162,0.000298106,64.71
,FALSE,CRI,Costa Rica,SECURE,,LEADING,Latin America and the Caribbean,68.06079584,0.018466578,67.12
,FALSE,CRI,Costa Rica,SUSTAINABLE,,LEADING,Latin America and the Caribbean,87.44911966,0.014201755,61.3
,FALSE,CRI,Costa Rica,EQUITABLE,,STABILIZING,Latin America and the Caribbean,68.13537221,-0.003764469,64.71
,FALSE,CIV,Cote d'Ivoire,SECURE,,AT RISK,Sub-Saharan Africa,57.89266508,-0.004743918,67.12
,FALSE,CIV,Cote d'Ivoire,SUSTAINABLE,,LEADING,Sub-Saharan Africa,81.12864871,0.004074365,61.3
,FALSE,CIV,Cote d'Ivoire,EQUITABLE,,ADVANCING,Sub-Saharan Africa,52.84239221,0.009805156,64.71
,FALSE,HRV,Croatia,SECURE,,ADVANCING,Emerging and Developing Europe,66.90848399,0.000343226,67.12
,FALSE,HRV,Croatia,SUSTAINABLE,,LEADING,Emerging and Developing Europe,67.3382647,0.003909069,61.3
,FALSE,HRV,Croatia,EQUITABLE,,LEADING,Emerging and Developing Europe,66.87160628,0.000818252,64.71
,FALSE,CYP,Cyprus,SECURE,,ADVANCING,Advanced Economies,66.54995024,0.002975079,67.12
,FALSE,CYP,Cyprus,SUSTAINABLE,,ADVANCING,Advanced Economies,55.63605379,0.018475093,61.3
,FALSE,CYP,Cyprus,EQUITABLE,,AT RISK,Advanced Economies,62.98397165,-0.010246917,64.71
,FALSE,CZE,Czech Republic,SECURE,,LEADING,Advanced Economies,77.72772651,0.008739317,67.12
,FALSE,CZE,Czech Republic,SUSTAINABLE,,ADVANCING,Advanced Economies,50.282677,0.032589133,61.3
,FALSE,CZE,Czech Republic,EQUITABLE,,LEADING,Advanced Economies,70.68380992,0.020242844,64.71
,FALSE,DNK,Denmark,SECURE,,STABILIZING,Advanced Economies,78.40279457,-0.009832052,67.12
,FALSE,DNK,Denmark,SUSTAINABLE,,LEADING,Advanced Economies,72.22328597,0.02810863,61.3
,FALSE,DNK,Denmark,EQUITABLE,,STABILIZING,Advanced Economies,70.36754347,-0.004484504,64.71
,FALSE,DOM,Dominican Republic,SECURE,,AT RISK,Latin America and the Caribbean,46.60477728,-0.026685869,67.12
,FALSE,DOM,Dominican Republic,SUSTAINABLE,,ADVANCING,Latin America and the Caribbean,59.02756805,0.002927311,61.3
,FALSE,DOM,Dominican Republic,EQUITABLE,,AT RISK,Latin America and the Caribbean,60.62593508,-0.001188278,64.71
,FALSE,ECU,Ecuador,SECURE,,AT RISK,Latin America and the Caribbean,66.52638381,-0.005526085,67.12
,FALSE,ECU,Ecuador,SUSTAINABLE,,LEADING,Latin America and the Caribbean,66.87794391,0.016595906,61.3
,FALSE,ECU,Ecuador,EQUITABLE,,LEADING,Latin America and the Caribbean,70.13289294,0.01816733,64.71
,FALSE,EGY,"Egypt, Arab Rep.",SECURE,,STABILIZING,"Middle East, North Africa and Pakistan",67.31307604,-0.011732494,67.12
,FALSE,EGY,"Egypt, Arab Rep.",SUSTAINABLE,,ADVANCING,"Middle East, North Africa and Pakistan",58.39266924,0.022091261,61.3
,FALSE,EGY,"Egypt, Arab Rep.",EQUITABLE,,ADVANCING,"Middle East, North Africa and Pakistan",61.89176891,0.015284396,64.71
,FALSE,SLV,El Salvador,SECURE,,STABILIZING,Latin America and the Caribbean,69.31507175,-0.002520656,67.12
,FALSE,SLV,El Salvador,SUSTAINABLE,,LEADING,Latin America and the Caribbean,78.30504721,0.001881523,61.3
,FALSE,SLV,El Salvador,EQUITABLE,,LEADING,Latin America and the Caribbean,68.8812313,0.037908977,64.71
,FALSE,EST,Estonia,SECURE,,LEADING,Advanced Economies,84.02860335,0.017921542,67.12
,FALSE,EST,Estonia,SUSTAINABLE,,LEADING,Advanced Economies,66.23451422,0.166233751,61.3
,FALSE,EST,Estonia,EQUITABLE,,STABILIZING,Advanced Economies,72.3453137,-0.005041195,64.71
,FALSE,ETH,Ethiopia,SECURE,,ADVANCING,Sub-Saharan Africa,58.67859982,0.021203692,67.12
,FALSE,ETH,Ethiopia,SUSTAINABLE,,LEADING,Sub-Saharan Africa,68.30117732,0.003990883,61.3
,FALSE,ETH,Ethiopia,EQUITABLE,,ADVANCING,Sub-Saharan Africa,56.44395675,0.03154876,64.71
,FALSE,FIN,Finland,SECURE,,LEADING,Advanced Economies,70.1411053,0.004477296,67.12
,FALSE,FIN,Finland,SUSTAINABLE,,LEADING,Advanced Economies,64.06623275,0.030129767,61.3
,FALSE,FIN,Finland,EQUITABLE,,LEADING,Advanced Economies,72.54975414,0.003273044,64.71
,FALSE,FRA,France,SECURE,G20,LEADING,Advanced Economies,74.5812306,0.004283868,67.12
,FALSE,FRA,France,SUSTAINABLE,G20,LEADING,Advanced Economies,77.38396379,0.015336316,61.3
,FALSE,FRA,France,EQUITABLE,G20,STABILIZING,Advanced Economies,67.90841212,-0.005391665,64.71
,FALSE,GAB,Gabon,SECURE,,ADVANCING,Sub-Saharan Africa,61.39687098,0.003597914,67.12
,FALSE,GAB,Gabon,SUSTAINABLE,,LEADING,Sub-Saharan Africa,62.06136254,0.009930464,61.3
,FALSE,GAB,Gabon,EQUITABLE,,STABILIZING,Sub-Saharan Africa,70.61879226,-0.003129937,64.71
,FALSE,GEO,Georgia,SECURE,,AT RISK,Commonwealth of Independent States,61.13027262,-0.012188526,67.12
,FALSE,GEO,Georgia,SUSTAINABLE,,AT RISK,Commonwealth of Independent States,60.33709561,-0.005207232,61.3
,FALSE,GEO,Georgia,EQUITABLE,,LEADING,Commonwealth of Independent States,70.58373046,0.00639159,64.71
,FALSE,DEU,Germany,SECURE,G20,ADVANCING,Advanced Economies,66.41478316,0.001670555,67.12
,FALSE,DEU,Germany,SUSTAINABLE,G20,ADVANCING,Advanced Economies,59.48228307,0.026991907,61.3
,FALSE,DEU,Germany,EQUITABLE,G20,LEADING,Advanced Economies,67.93800768,0.009167938,64.71
,FALSE,GHA,Ghana,SECURE,,ADVANCING,Sub-Saharan Africa,66.81924442,0.065253512,67.12
,FALSE,GHA,Ghana,SUSTAINABLE,,STABILIZING,Sub-Saharan Africa,69.63217637,-0.002827138,61.3
,FALSE,GHA,Ghana,EQUITABLE,,AT RISK,Sub-Saharan Africa,52.90243782,-0.01401019,64.71
,FALSE,GRC,Greece,SECURE,,ADVANCING,Advanced Economies,62.1601901,0.012287161,67.12
,FALSE,GRC,Greece,SUSTAINABLE,,ADVANCING,Advanced Economies,60.05667939,0.029692608,61.3
,FALSE,GRC,Greece,EQUITABLE,,AT RISK,Advanced Economies,58.70663623,-0.013464293,64.71
,FALSE,GTM,Guatemala,SECURE,,STABILIZING,Latin America and the Caribbean,69.14987299,-0.001118383,67.12
,FALSE,GTM,Guatemala,SUSTAINABLE,,LEADING,Latin America and the Caribbean,68.15712966,0.002628857,61.3
,FALSE,GTM,Guatemala,EQUITABLE,,ADVANCING,Latin America and the Caribbean,58.24932398,0.014329655,64.71
,FALSE,HND,Honduras,SECURE,,ADVANCING,Latin America and the Caribbean,57.08489411,0.021471488,67.12
,FALSE,HND,Honduras,SUSTAINABLE,,LEADING,Latin America and the Caribbean,68.83906511,0.004152492,61.3
,FALSE,HND,Honduras,EQUITABLE,,ADVANCING,Latin America and the Caribbean,53.00208688,0.010993662,64.71
,FALSE,HUN,Hungary,SECURE,,LEADING,Emerging and Developing Europe,67.3884107,0.014966664,67.12
,FALSE,HUN,Hungary,SUSTAINABLE,,LEADING,Emerging and Developing Europe,63.22986977,0.012913695,61.3
,FALSE,HUN,Hungary,EQUITABLE,,LEADING,Emerging and Developing Europe,75.68477092,0.019978778,64.71
,FALSE,ISL,Iceland,SECURE,,STABILIZING,Advanced Economies,81.44272014,-0.000825974,67.12
,FALSE,ISL,Iceland,SUSTAINABLE,,ADVANCING,Advanced Economies,61.2089692,0.006910583,61.3
,FALSE,ISL,Iceland,EQUITABLE,,LEADING,Advanced Economies,79.01828969,0.005257176,64.71
,FALSE,IND,India,SECURE,G20,ADVANCING,Emerging and Developing Asia,65.10820097,0.001961048,67.12
,FALSE,IND,India,SUSTAINABLE,G20,ADVANCING,Emerging and Developing Asia,59.76808189,0.008967861,61.3
,FALSE,IND,India,EQUITABLE,G20,ADVANCING,Emerging and Developing Asia,59.34434097,0.033560479,64.71
,FALSE,IDN,Indonesia,SECURE,G20,STABILIZING,Emerging and Developing Asia,80.30306505,-0.003213992,67.12
,FALSE,IDN,Indonesia,SUSTAINABLE,G20,LEADING,Emerging and Developing Asia,62.0803333,0.000836977,61.3
,FALSE,IDN,Indonesia,EQUITABLE,G20,ADVANCING,Emerging and Developing Asia,59.47434607,0.017253364,64.71
,FALSE,IRN,"Iran, Islamic Rep.",SECURE,,STABILIZING,"Middle East, North Africa and Pakistan",78.5181526,-0.002279026,67.12
,FALSE,IRN,"Iran, Islamic Rep.",SUSTAINABLE,,ADVANCING,"Middle East, North Africa and Pakistan",34.51897279,0.004676422,61.3
,FALSE,IRN,"Iran, Islamic Rep.",EQUITABLE,,STABILIZING,"Middle East, North Africa and Pakistan",71.86580731,-0.00832668,64.71
,FALSE,IRL,Ireland,SECURE,,AT RISK,Advanced Economies,59.87273916,-0.002619279,67.12
,FALSE,IRL,Ireland,SUSTAINABLE,,LEADING,Advanced Economies,62.804689,0.020527632,61.3
,FALSE,IRL,Ireland,EQUITABLE,,AT RISK,Advanced Economies,61.1712026,-0.009876647,64.71
,FALSE,ISR,Israel,SECURE,,LEADING,Advanced Economies,67.30700149,0.019925308,67.12
,FALSE,ISR,Israel,SUSTAINABLE,,ADVANCING,Advanced Economies,54.92179592,0.025262048,61.3
,FALSE,ISR,Israel,EQUITABLE,,LEADING,Advanced Economies,79.76880649,0.014055708,64.71
,FALSE,ITA,Italy,SECURE,G20,LEADING,Advanced Economies,70.30944063,0.004128582,67.12
,FALSE,ITA,Italy,SUSTAINABLE,G20,ADVANCING,Advanced Economies,60.74837981,0.011818019,61.3
,FALSE,ITA,Italy,EQUITABLE,G20,AT RISK,Advanced Economies,60.69701336,-0.013076365,64.71
,FALSE,JAM,Jamaica,SECURE,,ADVANCING,Latin America and the Caribbean,46.47928528,0.061373621,67.12
,FALSE,JAM,Jamaica,SUSTAINABLE,,ADVANCING,Latin America and the Caribbean,55.75001555,0.005332985,61.3
,FALSE,JAM,Jamaica,EQUITABLE,,ADVANCING,Latin America and the Caribbean,49.01107511,0.01446367,64.71
,FALSE,JPN,Japan,SECURE,G20,AT RISK,Advanced Economies,65.05861875,-0.003231654,67.12
,FALSE,JPN,Japan,SUSTAINABLE,G20,ADVANCING,Advanced Economies,51.01368352,0.039326853,61.3
,FALSE,JPN,Japan,EQUITABLE,G20,LEADING,Advanced Economies,74.88312784,0.005878765,64.71
,FALSE,JOR,Jordan,SECURE,,ADVANCING,"Middle East, North Africa and Pakistan",54.35923321,0.008954419,67.12
,FALSE,JOR,Jordan,SUSTAINABLE,,ADVANCING,"Middle East, North Africa and Pakistan",53.33518544,0.036952913,61.3
,FALSE,JOR,Jordan,EQUITABLE,,LEADING,"Middle East, North Africa and Pakistan",67.53617031,0.008756963,64.71
,FALSE,KAZ,Kazakhstan,SECURE,,LEADING,Commonwealth of Independent States,73.40498122,0.004424114,67.12
,FALSE,KAZ,Kazakhstan,SUSTAINABLE,,ADVANCING,Commonwealth of Independent States,35.84556658,0.025283328,61.3
,FALSE,KAZ,Kazakhstan,EQUITABLE,,STABILIZING,Commonwealth of Independent States,74.02902932,-0.001178257,64.71
,FALSE,KEN,Kenya,SECURE,,LEADING,Sub-Saharan Africa,73.21091409,0.030146781,67.12
,FALSE,KEN,Kenya,SUSTAINABLE,,LEADING,Sub-Saharan Africa,72.37472959,0.006633283,61.3
,FALSE,KEN,Kenya,EQUITABLE,,ADVANCING,Sub-Saharan Africa,52.23923411,0.103986125,64.71
,FALSE,KOR,"Korea, Rep.",SECURE,G20,ADVANCING,Advanced Economies,63.91494304,0.00650032,67.12
,FALSE,KOR,"Korea, Rep.",SUSTAINABLE,G20,ADVANCING,Advanced Economies,42.42303282,0.028013971,61.3
,FALSE,KOR,"Korea, Rep.",EQUITABLE,G20,STABILIZING,Advanced Economies,74.68250496,-0.004472471,64.71
,FALSE,KWT,Kuwait,SECURE,,STABILIZING,"Middle East, North Africa and Pakistan",73.32431061,-0.002706579,67.12
,FALSE,KWT,Kuwait,SUSTAINABLE,,AT RISK,"Middle East, North Africa and Pakistan",17.17116366,-0.036040833,61.3
,FALSE,KWT,Kuwait,EQUITABLE,,AT RISK,"Middle East, North Africa and Pakistan",63.54716164,-0.011875223,64.71
,FALSE,KGZ,Kyrgyz Republic,SECURE,,ADVANCING,Commonwealth of Independent States,61.70093214,0.028039705,67.12
,FALSE,KGZ,Kyrgyz Republic,SUSTAINABLE,,LEADING,Commonwealth of Independent States,70.73917536,0.014754016,61.3
,FALSE,KGZ,Kyrgyz Republic,EQUITABLE,,ADVANCING,Commonwealth of Independent States,52.54986412,0.005899724,64.71
,FALSE,LAO,Lao PDR,SECURE,,AT RISK,Emerging and Developing Asia,53.98663312,-0.008247077,67.12
,FALSE,LAO,Lao PDR,SUSTAINABLE,,LEADING,Emerging and Developing Asia,64.81447979,0.017193191,61.3
,FALSE,LAO,Lao PDR,EQUITABLE,,ADVANCING,Emerging and Developing Asia,58.75403618,0.00888779,64.71
,FALSE,LVA,Latvia,SECURE,,LEADING,Emerging and Developing Europe,75.26096921,0.003629601,67.12
,FALSE,LVA,Latvia,SUSTAINABLE,,LEADING,Emerging and Developing Europe,67.93518372,0.008544486,61.3
,FALSE,LVA,Latvia,EQUITABLE,,ADVANCING,Emerging and Developing Europe,63.71671728,0.006609079,64.71
,FALSE,LBN,Lebanon,SECURE,,ADVANCING,"Middle East, North Africa and Pakistan",45.01579441,0.021969924,67.12
,FALSE,LBN,Lebanon,SUSTAINABLE,,ADVANCING,"Middle East, North Africa and Pakistan",47.95093314,0.014956946,61.3
,FALSE,LBN,Lebanon,EQUITABLE,,ADVANCING,"Middle East, North Africa and Pakistan",57.33202649,0.011626712,64.71
,FALSE,LTU,Lithuania,SECURE,,ADVANCING,Emerging and Developing Europe,61.21018163,0.020209958,67.12
,FALSE,LTU,Lithuania,SUSTAINABLE,,LEADING,Emerging and Developing Europe,61.38850028,0.003025366,61.3
,FALSE,LTU,Lithuania,EQUITABLE,,AT RISK,Emerging and Developing Europe,63.40925,-0.01407911,64.71
,FALSE,LUX,Luxembourg,SECURE,,LEADING,Advanced Economies,71.66744679,0.0005798,67.12
,FALSE,LUX,Luxembourg,SUSTAINABLE,,ADVANCING,Advanced Economies,41.83750088,0.082939514,61.3
,FALSE,LUX,Luxembourg,EQUITABLE,,STABILIZING,Advanced Economies,70.98685315,-0.008098148,64.71
,FALSE,MKD,"Macedonia, FYR",SECURE,,ADVANCING,Emerging and Developing Europe,53.52647781,0.010176281,67.12
,FALSE,MKD,"Macedonia, FYR",SUSTAINABLE,,ADVANCING,Emerging and Developing Europe,58.32466787,0.006011242,61.3
,FALSE,MKD,"Macedonia, FYR",EQUITABLE,,STABILIZING,Emerging and Developing Europe,72.42374091,-0.001941079,64.71
,FALSE,MYS,Malaysia,SECURE,,LEADING,Emerging and Developing Asia,83.54519437,0.000750896,67.12
,FALSE,MYS,Malaysia,SUSTAINABLE,,AT RISK,Emerging and Developing Asia,50.54399537,-0.005381565,61.3
,FALSE,MYS,Malaysia,EQUITABLE,,LEADING,Emerging and Developing Asia,75.86095791,0.0053847,64.71
,FALSE,MLT,Malta,SECURE,,ADVANCING,Advanced Economies,63.78487476,0.015770624,67.12
,FALSE,MLT,Malta,SUSTAINABLE,,AT RISK,Advanced Economies,53.57985976,-0.001898634,61.3
,FALSE,MLT,Malta,EQUITABLE,,LEADING,Advanced Economies,67.10138937,0.001004037,64.71
,FALSE,MUS,Mauritius,SECURE,,LEADING,Sub-Saharan Africa,71.35154479,0.005587147,67.12
,FALSE,MUS,Mauritius,SUSTAINABLE,,LEADING,Sub-Saharan Africa,61.42582576,0.001481658,61.3
,FALSE,MUS,Mauritius,EQUITABLE,,AT RISK,Sub-Saharan Africa,63.57013566,-0.001240756,64.71
,FALSE,MEX,Mexico,SECURE,G20,STABILIZING,Latin America and the Caribbean,69.61719903,-0.007691169,67.12
,FALSE,MEX,Mexico,SUSTAINABLE,G20,ADVANCING,Latin America and the Caribbean,61.13835718,0.019828144,61.3
,FALSE,MEX,Mexico,EQUITABLE,G20,AT RISK,Latin America and the Caribbean,64.01325871,-0.033004394,64.71
,FALSE,MNG,Mongolia,SECURE,,AT RISK,Emerging and Developing Asia,50.36079045,-1.72E-05,67.12
,FALSE,MNG,Mongolia,SUSTAINABLE,,ADVANCING,Emerging and Developing Asia,47.86989079,0.004206773,61.3
,FALSE,MNG,Mongolia,EQUITABLE,,LEADING,Emerging and Developing Asia,70.65259741,0.009188355,64.71
,FALSE,MNE,Montenegro,SECURE,,ADVANCING,Emerging and Developing Europe,62.47558199,0.01823515,67.12
,FALSE,MNE,Montenegro,SUSTAINABLE,,AT RISK,Emerging and Developing Europe,60.41617932,-0.00795853,61.3
,FALSE,MNE,Montenegro,EQUITABLE,,ADVANCING,Emerging and Developing Europe,64.30511596,0.008388746,64.71
,FALSE,MAR,Morocco,SECURE,,ADVANCING,"Middle East, North Africa and Pakistan",58.72764203,0.001835583,67.12
,FALSE,MAR,Morocco,SUSTAINABLE,,AT RISK,"Middle East, North Africa and Pakistan",55.50960086,-0.001822461,61.3
,FALSE,MAR,Morocco,EQUITABLE,,LEADING,"Middle East, North Africa and Pakistan",67.77054252,0.007228538,64.71
,FALSE,MOZ,Mozambique,SECURE,,AT RISK,Sub-Saharan Africa,61.56979406,-0.004905659,67.12
,FALSE,MOZ,Mozambique,SUSTAINABLE,,LEADING,Sub-Saharan Africa,68.20496487,0.004038277,61.3
,FALSE,MOZ,Mozambique,EQUITABLE,,AT RISK,Sub-Saharan Africa,44.61292081,-0.020883825,64.71
,FALSE,NAM,Namibia,SECURE,,LEADING,Sub-Saharan Africa,74.15410953,0.00271492,67.12
,FALSE,NAM,Namibia,SUSTAINABLE,,LEADING,Sub-Saharan Africa,69.54828655,0.001648998,61.3
,FALSE,NAM,Namibia,EQUITABLE,,ADVANCING,Sub-Saharan Africa,46.23065984,0.007152656,64.71
,FALSE,NPL,Nepal,SECURE,,AT RISK,Emerging and Developing Asia,51.45661312,-0.003535987,67.12
,FALSE,NPL,Nepal,SUSTAINABLE,,LEADING,Emerging and Developing Asia,69.74215722,0.007316,61.3
,FALSE,NPL,Nepal,EQUITABLE,,ADVANCING,Emerging and Developing Asia,53.49825372,0.008601998,64.71
,FALSE,NLD,Netherlands,SECURE,,STABILIZING,Advanced Economies,67.87906668,-0.008256266,67.12
,FALSE,NLD,Netherlands,SUSTAINABLE,,ADVANCING,Advanced Economies,59.62029536,0.032269041,61.3
,FALSE,NLD,Netherlands,EQUITABLE,,LEADING,Advanced Economies,69.52473847,0.001230344,64.71
,FALSE,NZL,New Zealand,SECURE,,STABILIZING,Advanced Economies,71.31576247,-0.003659411,67.12
